日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/16,淡水,NO,1.2,1.1,1.2,0.4,0.9,1.4,1.7,14,9.7,1.4,1.1,1.1,1.1,0.8,1.2,1,1.3,1.3,0.8,2.3,1.7,4.7,9.5,3.4
2014/01/16,淡水,NO2,3.6,4.5,4.6,2.3,6.9,9.5,21,31,22,6.4,3.7,3.3,2.8,3,3.2,2.9,4.2,5.7,6,16,16,18,27,18
2014/01/16,淡水,NOx,4.8,5.6,5.8,2.7,7.8,11,23,45,32,7.8,4.8,4.3,3.9,3.8,4.4,3.9,5.4,7,6.7,19,17,23,36,21
2014/01/16,淡水,O3,38,37,37,41,33,28,13,5.1,19,37,41,41,42,41,41,41,40,37,36,24,25,21,9.7,15
2014/01/16,淡水,PM10,34,33,34,35,34,35,40,48,48,39,37,35,33,33,38,37,34,35,32,31,33,34,40,40
2014/01/16,淡水,PM2.5,12,14,18,15,16,17,16,19,20,18,18,15,12,12,16,16,13,15,13,13,13,15,17,14
2014/01/16,淡水,SO2,1.6,1.6,1.8,1.7,1.4,1.7,3.1,3.7,2.6,1.5,1.5,1.2,1.6,1.5,1.5,1.3,1.1,1.1,1.3,1.4,1.5,1.6,1.7,1.4
2014/01/16,淡水,UVB,0,0,0,0,0,0,0,0,0.4,1.4,3.5,4.5,4.6,3.4,2.3,1.2,0.3,0,0,0,0,0,0,0
2014/01/17,淡水,CO,0.51,0.39,0.34,0.32,0.27,0.31,0.41,0.79,0.79,0.37,0.21,0.2,0.17,0.2,0.2,0.2,0.22,0.32,0.4,0.57,0.61,0.5,0.32,0.28
2014/01/17,淡水,NO,3.4,1.2,1.1,0.9,0.7,1.3,5.2,33,22,4.7,1.7,1,0.8,1.1,1.2,1.1,1.3,1.3,1.1,2.7,2.6,2.1,1.2,0.8
2014/01/17,淡水,NO2,18,12,11,13,11,11,19,30,31,14,5.8,4.3,2.8,4.2,4.2,4.5,4.8,8.6,14,22,25,19,9.6,8.2
2014/01/17,淡水,NOx,21,13,12,14,11,12,24,63,53,19,7.5,5.3,3.7,5.4,5.4,5.5,6.1,9.9,15,25,27,21,11,9
2014/01/17,淡水,O3,14,20,18,19,21,20,15,6.7,12,32,40,42,45,45,44,43,43,39,30,16,14,19,35,39
2014/01/17,淡水,PM10,35,32,34,33,28,28,29,35,45,44,34,33,28,27,31,29,29,31,33,38,34,31,31,27
2014/01/17,淡水,PM2.5,14,13,11,10,14,14,11,13,20,23,20,16,15,15,13,12,12,10,12,17,19,14,10,13
2014/01/17,淡水,SO2,1.3,1.3,1.5,1.4,1.5,1.7,1.9,3.9,3.5,2.6,2.5,2.3,1.8,1.3,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.4,1.2,1.1
2014/01/17,淡水,UVB,0,0,0,0,0,0,0,0.2,0.9,2.3,3.8,4.8,4.9,4.1,2.5,1.2,0.3,0,0,0,0,0,0,0
