Date,Station,Item,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/06/29,Sanyi,PM10,28,29,24,26,28,28,31,28,28,29,32,39,40,37,37,38,33,31,31,32,31,31,33,29
2014/06/30,Sanyi,PM10,26,23,23,24,22,26,32,28,23,29,42,46,50,45,42,42,37,42,40,37,39,38,35,34
2014/07/02,Sanyi,PM10,35,37,37,34,28,26,24,27,29,28,33,42,45,51,55,49,35,35,35,29,34,43,56,60
2014/07/03,Sanyi,PM10,48,42,43,39,31,21,23,28,22,22,34,45,53,45,39,40,34,28,29,34,48,50,43,44
2014/07/04,Sanyi,PM10,44,44,46,49,48,48,51,50,55,62,54,51,54,50,40,35,39,39,39,39,38,37,42,51
2014/07/05,Sanyi,PM10,48,35,44,55,54,50,51,55,57,64,64,60,62,49,38,35,29,31,26,26,37,35,33,37
2014/07/06,Sanyi,PM10,38,39,38,37,38,43,44,40,42,45,51,55,46,38,37,37,35,34,34,35,39,43,44,42
2014/07/07,Sanyi,PM10,35,32,32,37,38,39,45,45,35,33,31,28,40,45,43,44,49,46,43,32,20,22,23,22
2014/07/09,Sanyi,PM10,21,21,32,39,35,38,37,34,40,42,42,46,55,55,65,73,64,55,53,57,62,59,54,46
2014/07/10,Sanyi,PM10,40,39,35,37,39,34,32,32,28,40,42,33,44,42,39,44,46,42,35,33,32,29,29,28
2014/07/11,Sanyi,PM10,26,28,27,23,23,23,26,29,27,28,35,44,48,46,43,39,32,31,29,31,32,22,18,23
2014/07/12,Sanyi,PM10,21,20,24,31,29,29,31,27,31,31,32,43,42,45,48,40,37,32,28,29,32,27,28,29
2014/07/13,Sanyi,PM10,24,22,17,17,18,16,15,17,21,24,29,32,35,40,37,31,27,28,31,31,32,38,38,32
2014/07/15,Sanyi,PM10,37,35,34,31,27,34,38,32,32,42,43,43,46,33,20,17,21,20,22,23,29,35,33,29
2014/07/16,Sanyi,PM10,31,27,26,23,23,27,31,34,37,44,38,28,26,32,37,35,34,31,39,38,34,34,32,37
2014/07/18,Sanyi,PM10,43,42,42,42,39,40,42,32,28,39,53,61,68,64,51,42,35,34,29,26,28,28,27,24
2014/07/19,Sanyi,PM10,24,24,23,22,17,18,22,21,18,18,13,18,23,23,24,21,22,21,18,21,31,34,35,42
2014/07/20,Sanyi,PM10,44,42,39,38,38,39,38,35,34,32,27,28,34,40,43,42,37,33,31,31,32,33,35,37
2014/07/26,Sanyi,PM10,20,22,26,24,22,20,24,22,16,15,21,27,29,29,28,27,26,33,34,29,28,39,38,29
2014/07/27,Sanyi,PM10,34,34,29,32,34,33,32,28,22,18,21,21,17,16,18,22,28,32,37,40,40,34,35,39
2014/07/28,Sanyi,PM10,43,42,40,39,33,34,37,31,29,34,42,44,40,34,32,31,31,32,33,35,34,31,17,7
2014/07/29,Sanyi,PM10,7,12,13,16,21,22,22,27,31,26,28,34,42,49,44,40,40,35,37,37,39,37,34,40
